name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Jonathan Castro Otto,[ 84.25  23.25 121.5 ],6.0,227.0,6.0,227.0
Bruno Cavaco JordÃ£o,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Sasa Kalajdzic,[ 1.25 11.25 59.5 ],2.0,74.0,0.0,76.0
Max Kilman,[107.25  20.25  83.5 ],3.0,212.0,3.0,212.0
Tom King,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Mario Lemina,[105.25  23.25  82.5 ],7.0,208.0,6.0,209.0
Pedro Lomba Neto,[64.25 47.25 79.5 ],11.0,184.0,25.0,170.0
Daniel Castelo Podence,[48.25 43.25 75.5 ],12.0,159.0,7.0,164.0
JosÃ© Malheiro de SÃ¡,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Pablo Sarabia,[29.25 14.25 14.5 ],5.0,57.0,7.0,55.0
Matija Å arkiÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
NÃ©lson Cabral Semedo,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Toti AntÃ³nio Gomes,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Boubacar TraorÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Matheus Santos Carneiro Da Cunha,[41.25  8.25 10.5 ],14.0,50.0,7.0,57.0
Matt Doherty,[100.25  48.25  80.5 ],12.0,221.0,22.0,211.0
Santiago Bueno,[ 9.25  3.25 23.5 ],0.0,40.0,0.0,40.0
Enso GonzÃ¡lez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Nathan Fraser,[ 1.25  6.25 53.5 ],0.0,65.0,0.0,65.0
Jean-Ricner Bellegarde,[10.25 12.25 12.5 ],2.0,37.0,2.0,37.0
Matthew Whittingham,[ 0.25  0.25 25.5 ],0.0,30.0,0.0,30.0
Tawanda Chirewa,[ 1.25  7.25 17.5 ],0.0,30.0,0.0,30.0
Justin Hubner,[ 0.25  0.25 25.5 ],0.0,30.0,0.0,30.0
Owen Hesketh,[ 0.25  0.25 21.5 ],0.0,26.0,0.0,26.0
Ty Barnett,[ 0.25  0.25 21.5 ],0.0,26.0,0.0,26.0
Harvey Griffiths,[ 0.25  0.25 43.5 ],0.0,48.0,0.0,48.0
Yerson Mosquera,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
Noha Lemina,[ 0.25  0.25 17.5 ],0.0,22.0,0.0,22.0
Wesley Okoduwa,[ 0.25  0.25 12.5 ],0.0,17.0,0.0,17.0
Leon Chiwome,[2.25 1.25 8.5 ],0.0,16.0,0.0,16.0
Fletcher Holman,[ 0.25  0.25 10.5 ],0.0,15.0,0.0,15.0
Temple Ojinnaka,[0.25 0.25 6.5 ],0.0,11.0,0.0,11.0
